Project_category,Species,SampleID,Project,Model,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch,Comment,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
tumor,mice,E2551-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2551_A,,,,,,,,
tumor,mice,E2552-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2552_A,,,,,,,,
tumor,mice,E2553-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2553_A,,,,,,,,
tumor,mice,E2554-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2554_A,,,,,,,,
tumor,mice,E2555-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2555_A,,,,,,,,
tumor,mice,E2656-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2656_A,,,,,,,,
tumor,mice,E2658-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2658_A,,,,,,,,
tumor,mice,E2659-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2659_A,,,,,,,,
tumor,mice,E2660-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2660_A,,,,,,,,
tumor,mice,E2616-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2616_A,,,,,,,,
tumor,mice,E2617-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2617_A,,,,,,,,
tumor,mice,E2618-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2618_A,,,,,,,,
tumor,mice,E2619-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2619_A,,,,,,,,
tumor,mice,E2620-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2620_A,,,,,,,,
tumor,mice,E2637-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2637_A,,,,,,,,
tumor,mice,E2638-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2638_A,,,,,,,,
tumor,mice,E2639-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2639_A,,,,,,,,
tumor,mice,E2640-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2640_A,,,,,,,,
tumor,mice,E2606-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2606_A,,,,,,,,
tumor,mice,E2607-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2607_A,,,,,,,,
tumor,mice,E2608-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2608_A,,,,,,,,
