Project_category	Species	SampleID	Project	Model	Groups	Drug	Drug_batch	Dosage	Dosage_unit	Gender	Birth_date	Collection_date	Age_week	Strain	Cage_num	Source	Feed_site	Batch	Comment	Time_Point	Subject_add_X	Bacteria_16s	16s_lab	Metagenome	Metagenome_lab	Metabolism	Metabolism_lab	Immunity	Path
222	mice	B5501	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	1	Weitonglihua	Bikai	20200828-16s			B5501								
222	mice	B5502	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	1	Weitonglihua	Bikai	20200828-16s			B5502								
222	mice	B5479	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	1	Weitonglihua	Bikai	20200828-16s			B5479								
222	mice	B5480	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	1	Weitonglihua	Bikai	20200828-16s			B5480								
222	mice	B5505	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	1	Weitonglihua	Bikai	20200828-16s			B5505								
222	mice	B5506	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	2	Weitonglihua	Bikai	20200828-16s			B5506								
222	mice	B5507	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	2	Weitonglihua	Bikai	20200828-16s			B5507								
222	mice	B5508	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	2	Weitonglihua	Bikai	20200828-16s			B5508								
222	mice	B5509	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	2	Weitonglihua	Bikai	20200828-16s			B5509								
222	mice	B5510	DP-2020-002		Vehicle	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	2	Weitonglihua	Bikai	20200828-16s			B5510								
222	mice	B5512	DP-2020-002		FLU20	Vehicle		0		M	2020/4/28	2020/6/8	6 	C57BL/6	3	Weitonglihua	Bikai	20200828-16s			B5512								
