Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
tumor,mice,17778,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/6/23,9,C57BL/6,15,Lingchang,Pengli,20200919-16S,接种后第一天（D1）,,X17778,y,Fengyuan,,,,,,
tumor,mice,17921,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/6/23,9,C57BL/6,15,Lingchang,Pengli,20200919-16S,接种后第一天（D1）,,X17921,y,Fengyuan,,,,,,
tumor,mice,17922,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/6/23,9,C57BL/6,15,Lingchang,Pengli,20200919-16S,接种后第一天（D1）,,X17922,y,Fengyuan,,,,,,
tumor,mice,17923,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/6/23,9,C57BL/6,15,Lingchang,Pengli,20200919-16S,接种后第一天（D1）,,X17923,y,Fengyuan,,,,,,
tumor,mice,17924,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/6/23,9,C57BL/6,15,Lingchang,Pengli,20200919-16S,接种后第一天（D1）,,X17924,y,Fengyuan,,,,,,
tumor,mice,17925,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/6/23,9,C57BL/6,15,Lingchang,Pengli,20200919-16S,接种后第一天（D1）,,X17925,y,Fengyuan,,,,,,
tumor,mice,17751,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/7,11,C57BL/6,16,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到100mm3，收集粪便,,X17751,y,Fengyuan,,,,,,
tumor,mice,17755,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/7,11,C57BL/6,16,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到100mm3，收集粪便,,X17755,y,Fengyuan,,,,,,
tumor,mice,17765,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/7,11,C57BL/6,16,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到100mm3，收集粪便,,X17765,y,Fengyuan,,,,,,
tumor,mice,17790,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/7,11,C57BL/6,16,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到100mm3，收集粪便,,X17790,y,Fengyuan,,,,,,
tumor,mice,17908,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/7,11,C57BL/6,16,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到100mm3，收集粪便,,X17908,y,Fengyuan,,,,,,
tumor,mice,17959,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/7,11,C57BL/6,16,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到100mm3，收集粪便,,X17959,y,Fengyuan,,,,,,
tumor,mice,17764,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/9,11,C57BL/6,17,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到300mm3，收集粪便,,X17764,y,Fengyuan,,,,,,
tumor,mice,17779,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/9,11,C57BL/6,17,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到300mm3，收集粪便,,X17779,y,Fengyuan,,,,,,
tumor,mice,17758,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/9,11,C57BL/6,17,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到300mm3，收集粪便,,X17758,y,Fengyuan,,,,,,
tumor,mice,17909,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/9,11,C57BL/6,17,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到300mm3，收集粪便,,X17909,y,Fengyuan,,,,,,
tumor,mice,17926,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/9,11,C57BL/6,17,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到300mm3，收集粪便,,X17926,y,Fengyuan,,,,,,
tumor,mice,17762,ONC-2020-023,LLC,,,,,,Male,,2020/6/10,7,2020/7/9,11,C57BL/6,17,Lingchang,Pengli,20200919-16S,TIL肿瘤体积长到300mm3，收集粪便,,X17762,y,Fengyuan,,,,,,
