Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab
tumor,mice,E3201-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3201_A,y,Fengyuan
tumor,mice,E3202-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3202_A,y,Fengyuan
tumor,mice,E3203-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3203_A,y,Fengyuan
tumor,mice,E3204-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3204_A,y,Fengyuan
tumor,mice,E3205-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3205_A,y,Fengyuan
tumor,mice,E3241-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3241_A,y,Fengyuan
tumor,mice,E3242-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3242_A,y,Fengyuan
tumor,mice,E3243-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3243_A,y,Fengyuan
tumor,mice,E3244-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3244_A,y,Fengyuan
tumor,mice,E3245-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3245_A,y,Fengyuan
tumor,mice,E3251-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3251_A,y,Fengyuan
tumor,mice,E3252-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3252_A,y,Fengyuan
tumor,mice,E3253-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3253_A,y,Fengyuan
tumor,mice,E3254-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3254_A,y,Fengyuan
tumor,mice,E3255-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3255_A,y,Fengyuan
tumor,mice,E3256-A,ONC-2020-038,SP20,,,,,,Female,,,5,2020/8/18,6299 ,BALB/c,,Linchang,Pengli,20200929-16S,接种前,time1,E3256_A,y,Fengyuan
tumor,mice,E3211-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,1,Linchang,Pengli,20200929-16S,给药前,time2,E3211_B,y,Fengyuan
tumor,mice,E3212-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,1,Linchang,Pengli,20200929-16S,给药前,time2,E3212_B,y,Fengyuan
tumor,mice,E3213-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,1,Linchang,Pengli,20200929-16S,给药前,time2,E3213_B,y,Fengyuan
tumor,mice,E3214-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,1,Linchang,Pengli,20200929-16S,给药前,time2,E3214_B,y,Fengyuan
tumor,mice,E3215-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,1,Linchang,Pengli,20200929-16S,给药前,time2,E3215_B,y,Fengyuan
tumor,mice,E3221-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,1,Linchang,Pengli,20200929-16S,给药前,time2,E3221_B,y,Fengyuan
tumor,mice,E3226-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,2,Linchang,Pengli,20200929-16S,给药前,time2,E3226_B,y,Fengyuan
tumor,mice,E3227-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,2,Linchang,Pengli,20200929-16S,给药前,time2,E3227_B,y,Fengyuan
tumor,mice,E3228-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,2,Linchang,Pengli,20200929-16S,给药前,time2,E3228_B,y,Fengyuan
tumor,mice,E3229-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,2,Linchang,Pengli,20200929-16S,给药前,time2,E3229_B,y,Fengyuan
tumor,mice,E3230-B,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,2,Linchang,Pengli,20200929-16S,给药前,time2,E3230_B,y,Fengyuan
tumor,mice,E3216-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,3,Linchang,Pengli,20200929-16S,给药前,time2,E3216_B,y,Fengyuan
tumor,mice,E3217-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,3,Linchang,Pengli,20200929-16S,给药前,time2,E3217_B,y,Fengyuan
tumor,mice,E3218-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,3,Linchang,Pengli,20200929-16S,给药前,time2,E3218_B,y,Fengyuan
tumor,mice,E3219-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,3,Linchang,Pengli,20200929-16S,给药前,time2,E3219_B,y,Fengyuan
tumor,mice,E3220-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,3,Linchang,Pengli,20200929-16S,给药前,time2,E3220_B,y,Fengyuan
tumor,mice,E3246-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,4,Linchang,Pengli,20200929-16S,给药前,time2,E3246_B,y,Fengyuan
tumor,mice,E3247-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,4,Linchang,Pengli,20200929-16S,给药前,time2,E3247_B,y,Fengyuan
tumor,mice,E3248-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,4,Linchang,Pengli,20200929-16S,给药前,time2,E3248_B,y,Fengyuan
tumor,mice,E3249-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,4,Linchang,Pengli,20200929-16S,给药前,time2,E3249_B,y,Fengyuan
tumor,mice,E3250-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,4,Linchang,Pengli,20200929-16S,给药前,time2,E3250_B,y,Fengyuan
tumor,mice,E3224-B,ONC-2020-038,SP20,GV00920190630mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,4,Linchang,Pengli,20200929-16S,给药前,time2,E3224_B,y,Fengyuan
tumor,mice,E3206-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,5,Linchang,Pengli,20200929-16S,给药前,time2,E3206_B,y,Fengyuan
tumor,mice,E3207-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,5,Linchang,Pengli,20200929-16S,给药前,time2,E3207_B,y,Fengyuan
tumor,mice,E3208-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,5,Linchang,Pengli,20200929-16S,给药前,time2,E3208_B,y,Fengyuan
tumor,mice,E3209-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,5,Linchang,Pengli,20200929-16S,给药前,time2,E3209_B,y,Fengyuan
tumor,mice,E3210-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,5,Linchang,Pengli,20200929-16S,给药前,time2,E3210_B,y,Fengyuan
tumor,mice,E3231-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,6,Linchang,Pengli,20200929-16S,给药前,time2,E3231_B,y,Fengyuan
tumor,mice,E3232-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,6,Linchang,Pengli,20200929-16S,给药前,time2,E3232_B,y,Fengyuan
tumor,mice,E3233-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,6,Linchang,Pengli,20200929-16S,给药前,time2,E3233_B,y,Fengyuan
tumor,mice,E3234-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,6,Linchang,Pengli,20200929-16S,给药前,time2,E3234_B,y,Fengyuan
tumor,mice,E3235-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,6,Linchang,Pengli,20200929-16S,给药前,time2,E3235_B,y,Fengyuan
tumor,mice,E3225-B,ONC-2020-038,SP20,GV00920190660mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,6,Linchang,Pengli,20200929-16S,给药前,time2,E3225_B,y,Fengyuan
tumor,mice,E3236-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,7,Linchang,Pengli,20200929-16S,给药前,time2,E3236_B,y,Fengyuan
tumor,mice,E3237-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,7,Linchang,Pengli,20200929-16S,给药前,time2,E3237_B,y,Fengyuan
tumor,mice,E3238-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,7,Linchang,Pengli,20200929-16S,给药前,time2,E3238_B,y,Fengyuan
