Project_category,SampleID,SampleID-AD,Project,Source,Sample_type,Groups,Disease_type,Batch1,Batch2,Comment,Preservation,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path,Nmr,Sample_facs
971,LD201805_010,LD201805-010,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_010,y,Meiji,,,,,,,,
971,LD201805_022,LD201805-022,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_022,y,Meiji,,,,,,,,
971,LD201805_023,LD201805-023,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_023,y,Meiji,,,,,,,,
971,LD201805_025,LD201805-025,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_025,y,Meiji,,,,,,,,
971,LD201805_055,LD201805-055,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_055,y,Meiji,,,,,,,,
971,LD201805_068,LD201805-068,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_068,y,Meiji,,,,,,,,
971,LD201805_126,LD201805-126,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_126,y,Meiji,,,,,,,,
971,LD201805_152,LD201805-152,H01,Beijin,Feces,,Healthy,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_152,y,Meiji,,,,,,,,
971,LD201805_234,LD201805-234,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_234,y,Meiji,,,,,,,,
971,LD201805_318,LD201805-318,H01,Beijin,Feces,,Healthy,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_318,y,Meiji,,,,,,,,
