qq,SampleID,Project
1,18136,ONC-2020-025
2,18115,ONC-2020-025
3,18094,ONC-2020-025
4,18080,ONC-2020-025
5,18043,ONC-2020-025
6,18034,ONC-2020-025
7,18116,ONC-2020-025
8,18140,ONC-2020-025
9,18111,ONC-2020-025
10,18125,ONC-2020-025
11,18059,ONC-2020-025
12,18129,ONC-2020-025
13,18142,ONC-2020-025
14,18065,ONC-2020-025
15,18078,ONC-2020-025
16,18087,ONC-2020-025
17,18056,ONC-2020-025
18,18126,ONC-2020-025
19,18106,ONC-2020-025
20,18035,ONC-2020-025
21,18113,ONC-2020-025
22,18110,ONC-2020-025
23,18031,ONC-2020-025
24,18084,ONC-2020-025
25,18068,ONC-2020-025
26,18047,ONC-2020-025
27,18072,ONC-2020-025
28,18074,ONC-2020-025
29,18092,ONC-2020-025
30,18130,ONC-2020-025
31,18048,ONC-2020-025
32,18135,ONC-2020-025
33,18062,ONC-2020-025
34,18070,ONC-2020-025
35,18076,ONC-2020-025
36,18077,ONC-2020-025
37,18088,ONC-2020-025
38,18122,ONC-2020-025
39,18051,ONC-2020-025
40,18021,ONC-2020-025
41,18109,ONC-2020-025
42,18027,ONC-2020-025
43,18127,ONC-2020-025
44,18049,ONC-2020-025
45,18033,ONC-2020-025
46,18101,ONC-2020-025
47,18100,ONC-2020-025
48,18112,ONC-2020-025
49,18042,ONC-2020-025
50,18053,ONC-2020-025
51,18081,ONC-2020-025
52,18091,ONC-2020-025
53,18114,ONC-2020-025
54,18144,ONC-2020-025
55,18024,ONC-2020-025
56,18030,ONC-2020-025
57,18069,ONC-2020-025
58,18098,ONC-2020-025
59,18133,ONC-2020-025
60,18138,ONC-2020-025
61,18028,ONC-2020-025
62,18032,ONC-2020-025
63,18038,ONC-2020-025
64,18055,ONC-2020-025
65,18090,ONC-2020-025
66,18108,ONC-2020-025
67,18064,ONC-2020-025
68,18132,ONC-2020-025
69,18097,ONC-2020-025
70,18045,ONC-2020-025
71,18095,ONC-2020-025
72,18120,ONC-2020-025
