Sample_ID,Sample-Name,Project
1,E2895-A,ONC-2020-035
2,E3010-A,ONC-2020-035
3,E3095-A,ONC-2020-035
4,E2922-A,ONC-2020-035
5,E3024-A,ONC-2020-035
6,E2946-A,ONC-2020-035
7,E3038-A,ONC-2020-035
8,E3065-A,ONC-2020-035
9,E2918-A,ONC-2020-035
10,E2896-A,ONC-2020-035
11,E3037-A,ONC-2020-035
12,E2931-A,ONC-2020-035
13,E3088-A,ONC-2020-035
14,E3063-A,ONC-2020-035
15,E2969-A,ONC-2020-035
16,E2974-A,ONC-2020-035
17,E2944-A,ONC-2020-035
18,E3092-A,ONC-2020-035
19,E2997-A,ONC-2020-035
20,E2968-A,ONC-2020-035
21,E3009-A,ONC-2020-035
22,E3023-A,ONC-2020-035
23,E2925-A,ONC-2020-035
24,E3066-A,ONC-2020-035
25,E2903-A,ONC-2020-035
26,E2989-A,ONC-2020-035
27,E3014-A,ONC-2020-035
28,E3039-A,ONC-2020-035
29,E2902-A,ONC-2020-035
30,E2929-A,ONC-2020-035
31,E2963-A,ONC-2020-035
32,E3007-A,ONC-2020-035
33,E2964-A,ONC-2020-035
34,E3052-A,ONC-2020-035
35,E3042-A,ONC-2020-035
36,E3069-A,ONC-2020-035
37,E2913-A,ONC-2020-035
38,E3096-A,ONC-2020-035
39,E3050-A,ONC-2020-035
40,E3019-A,ONC-2020-035
41,E3080-A,ONC-2020-035
42,E2945-A,ONC-2020-035
43,E2957-A,ONC-2020-035
44,E2923-A,ONC-2020-035
45,E2916-A,ONC-2020-035
46,E3070-A,ONC-2020-035
47,E3017-A,ONC-2020-035
48,E3062-A,ONC-2020-035
49,E2949-A,ONC-2020-035
50,E2955-A,ONC-2020-035
51,E3059-A,ONC-2020-035
52,E3067-A,ONC-2020-035
53,E2927-A,ONC-2020-035
54,E2904-A,ONC-2020-035
55,E2985-A,ONC-2020-035
56,E3075-A,ONC-2020-035
57,E3049-A,ONC-2020-035
58,E2988-A,ONC-2020-035
59,E3012-A,ONC-2020-035
60,E3026-A,ONC-2020-035
61,E2895-B,ONC-2020-035
62,E3010-B,ONC-2020-035
63,E3095-B,ONC-2020-035
64,E2922-B,ONC-2020-035
65,E3024-B,ONC-2020-035
66,E2946-B,ONC-2020-035
67,E3038-B,ONC-2020-035
68,E3065-B,ONC-2020-035
69,E2918-B,ONC-2020-035
70,E2896-B,ONC-2020-035
71,E3037-B,ONC-2020-035
72,E2931-B,ONC-2020-035
73,E3088-B,ONC-2020-035
74,E3063-B,ONC-2020-035
75,E2969-B,ONC-2020-035
76,E2974-B,ONC-2020-035
77,E2944-B,ONC-2020-035
78,E3092-B,ONC-2020-035
79,E2997-B,ONC-2020-035
80,E2968-B,ONC-2020-035
81,E3009-B,ONC-2020-035
82,E3023-B,ONC-2020-035
83,E2925-B,ONC-2020-035
84,E3066-B,ONC-2020-035
85,E2903-B,ONC-2020-035
86,E2989-B,ONC-2020-035
87,E3014-B,ONC-2020-035
88,E3039-B,ONC-2020-035
89,E2902-B,ONC-2020-035
90,E2929-B,ONC-2020-035
91,E2963-B,ONC-2020-035
92,E3007-B,ONC-2020-035
93,E2964-B,ONC-2020-035
94,E3052-B,ONC-2020-035
95,E3042-B,ONC-2020-035
96,E3069-B,ONC-2020-035
97,E3050-B,ONC-2020-035
98,E3019-B,ONC-2020-035
99,E3080-B,ONC-2020-035
100,E2945-B,ONC-2020-035
101,E2957-B,ONC-2020-035
102,E2923-B,ONC-2020-035
103,E2916-B,ONC-2020-035
104,E3070-B,ONC-2020-035
105,E3017-B,ONC-2020-035
106,E3062-B,ONC-2020-035
107,E2949-B,ONC-2020-035
108,E2955-B,ONC-2020-035
109,E3059-B,ONC-2020-035
110,E3067-B,ONC-2020-035
111,E2927-B,ONC-2020-035
112,E2904-B,ONC-2020-035
113,E2985-B,ONC-2020-035
114,E3075-B,ONC-2020-035
115,E3049-B,ONC-2020-035
116,E2988-B,ONC-2020-035
117,E3012-B,ONC-2020-035
118,E3026-B,ONC-2020-035
119,E3040-B,ONC-2020-035
120,E2960-B,ONC-2020-035
121,E3079-B,ONC-2020-035
122,E2948-B,ONC-2020-035
