#1,Sample-ID,Project,Drug Project
1,18465-A,ONC-2020-040,GV009
2,18468-A,ONC-2020-040,GV009
3,18474-A,ONC-2020-040,GV009
4,18476-A,ONC-2020-040,GV009
5,18477-A,ONC-2020-040,GV009
6,18487-A,ONC-2020-040,GV009
7,18499-A,ONC-2020-040,GV009
8,18552-A,ONC-2020-040,GV009
9,18563-A,ONC-2020-040,GV009
10,18568-A,ONC-2020-040,GV009
11,18582-A,ONC-2020-040,GV009
12,18590-A,ONC-2020-040,GV009
13,18604-A,ONC-2020-040,GV009
14,18623-A,ONC-2020-040,GV009
15,18627-A,ONC-2020-040,GV009
16,18456-A,ONC-2020-040,GV009
17,18459-A,ONC-2020-040,GV009
18,18460-A,ONC-2020-040,GV009
19,18470-A,ONC-2020-040,GV009
20,18472-A,ONC-2020-040,GV009
21,18495-A,ONC-2020-040,GV009
22,18497-A,ONC-2020-040,GV009
23,18527-A,ONC-2020-040,GV009
24,18534-A,ONC-2020-040,GV009
25,18538-A,ONC-2020-040,GV009
26,18545-A,ONC-2020-040,GV009
27,18570-A,ONC-2020-040,GV009
28,18594-A,ONC-2020-040,GV009
29,18616-A,ONC-2020-040,GV009
30,18640-A,ONC-2020-040,GV009
31,18481-A,ONC-2020-040,GV009
32,18482-A,ONC-2020-040,GV009
33,18494-A,ONC-2020-040,GV009
34,18498-A,ONC-2020-040,GV009
35,18522-A,ONC-2020-040,GV009
36,18532-A,ONC-2020-040,GV009
37,18583-A,ONC-2020-040,GV009
38,18596-A,ONC-2020-040,GV009
39,18599-A,ONC-2020-040,GV009
40,18602-A,ONC-2020-040,GV009
41,18631-A,ONC-2020-040,GV009
42,18633-A,ONC-2020-040,GV009
43,18649-A,ONC-2020-040,GV009
44,18652-A,ONC-2020-040,GV009
45,18469-A,ONC-2020-040,GV009
46,18480-A,ONC-2020-040,GV009
47,18488-A,ONC-2020-040,GV009
48,18506-A,ONC-2020-040,GV009
49,18507-A,ONC-2020-040,GV009
50,18513-A,ONC-2020-040,GV009
51,18546-A,ONC-2020-040,GV009
52,18548-A,ONC-2020-040,GV009
53,18556-A,ONC-2020-040,GV009
54,18564-A,ONC-2020-040,GV009
55,18595-A,ONC-2020-040,GV009
56,18636-A,ONC-2020-040,GV009
57,18646-A,ONC-2020-040,GV009
58,18658-A,ONC-2020-040,GV009
59,18660-A,ONC-2020-040,GV009
60,18490-A,ONC-2020-040,GV009
61,18491-A,ONC-2020-040,GV009
62,18503-A,ONC-2020-040,GV009
63,18511-A,ONC-2020-040,GV009
64,18536-A,ONC-2020-040,GV009
65,18541-A,ONC-2020-040,GV009
66,18557-A,ONC-2020-040,GV009
67,18558-A,ONC-2020-040,GV009
68,18597-A,ONC-2020-040,GV009
69,18603-A,ONC-2020-040,GV009
70,18614-A,ONC-2020-040,GV009
71,18618-A,ONC-2020-040,GV009
72,18632-A,ONC-2020-040,GV009
73,18656-A,ONC-2020-040,GV009
74,18659-A,ONC-2020-040,GV009
75,18465-B,ONC-2020-040,GV009
76,18468-B,ONC-2020-040,GV009
77,18474-B,ONC-2020-040,GV009
78,18476-B,ONC-2020-040,GV009
79,18477-B,ONC-2020-040,GV009
80,18487-B,ONC-2020-040,GV009
81,18499-B,ONC-2020-040,GV009
82,18552-B,ONC-2020-040,GV009
83,18568-B,ONC-2020-040,GV009
84,18582-B,ONC-2020-040,GV009
85,18590-B,ONC-2020-040,GV009
86,18604-B,ONC-2020-040,GV009
87,18623-B,ONC-2020-040,GV009
88,18627-B,ONC-2020-040,GV009
89,18456-B,ONC-2020-040,GV009
90,18460-B,ONC-2020-040,GV009
91,18470-B,ONC-2020-040,GV009
92,18472-B,ONC-2020-040,GV009
93,18495-B,ONC-2020-040,GV009
94,18497-B,ONC-2020-040,GV009
95,18527-B,ONC-2020-040,GV009
96,18534-B,ONC-2020-040,GV009
