Num,Sample ID,Project,Project Drug,Batch
1,E3551-A,ONC-2020-046,GV009,20201113-16S
2,E3552-A,ONC-2020-046,GV009,20201113-16S
3,E3553-A,ONC-2020-046,GV009,20201113-16S
4,E3554-A,ONC-2020-046,GV009,20201113-16S
5,E3541-A,ONC-2020-046,GV009,20201113-16S
6,E3542-A,ONC-2020-046,GV009,20201113-16S
7,E3543-A,ONC-2020-046,GV009,20201113-16S
8,E3544-A,ONC-2020-046,GV009,20201113-16S
9,E3545-A,ONC-2020-046,GV009,20201113-16S
10,E3546-A,ONC-2020-046,GV009,20201113-16S
11,E3547-A,ONC-2020-046,GV009,20201113-16S
12,E3548-A,ONC-2020-046,GV009,20201113-16S
13,E3549-A,ONC-2020-046,GV009,20201113-16S
14,E3550-A,ONC-2020-046,GV009,20201113-16S
15,E3601-A,ONC-2020-046,GV009,20201113-16S
16,E3602-A,ONC-2020-046,GV009,20201113-16S
17,E3603-A,ONC-2020-046,GV009,20201113-16S
18,E3604-A,ONC-2020-046,GV009,20201113-16S
19,E3605-A,ONC-2020-046,GV009,20201113-16S
20,E3501-A,ONC-2020-046,GV009,20201113-16S
21,E3502-A,ONC-2020-046,GV009,20201113-16S
22,E3503-A,ONC-2020-046,GV009,20201113-16S
23,E3504-A,ONC-2020-046,GV009,20201113-16S
24,E3505-A,ONC-2020-046,GV009,20201113-16S
25,E3506-A,ONC-2020-046,GV009,20201113-16S
26,E3507-A,ONC-2020-046,GV009,20201113-16S
27,E3508-A,ONC-2020-046,GV009,20201113-16S
28,E3509-A,ONC-2020-046,GV009,20201113-16S
29,E3510-A,ONC-2020-046,GV009,20201113-16S
30,E3551-B,ONC-2020-046,GV009,20201113-16S
31,E3552-B,ONC-2020-046,GV009,20201113-16S
32,E3553-B,ONC-2020-046,GV009,20201113-16S
33,E3554-B,ONC-2020-046,GV009,20201113-16S
34,E3555-B,ONC-2020-046,GV009,20201113-16S
35,E3541-B,ONC-2020-046,GV009,20201113-16S
36,E3542-B,ONC-2020-046,GV009,20201113-16S
37,E3543-B,ONC-2020-046,GV009,20201113-16S
38,E3544-B,ONC-2020-046,GV009,20201113-16S
39,E3545-B,ONC-2020-046,GV009,20201113-16S
40,E3546-B,ONC-2020-046,GV009,20201113-16S
41,E3547-B,ONC-2020-046,GV009,20201113-16S
42,E3548-B,ONC-2020-046,GV009,20201113-16S
43,E3549-B,ONC-2020-046,GV009,20201113-16S
44,E3550-B,ONC-2020-046,GV009,20201113-16S
45,E3601-B,ONC-2020-046,GV009,20201113-16S
46,E3602-B,ONC-2020-046,GV009,20201113-16S
47,E3603-B,ONC-2020-046,GV009,20201113-16S
48,E3604-B,ONC-2020-046,GV009,20201113-16S
49,E3605-B,ONC-2020-046,GV009,20201113-16S
50,E3501-B,ONC-2020-046,GV009,20201113-16S
51,E3502-B,ONC-2020-046,GV009,20201113-16S
52,E3503-B,ONC-2020-046,GV009,20201113-16S
53,E3504-B,ONC-2020-046,GV009,20201113-16S
54,E3505-B,ONC-2020-046,GV009,20201113-16S
55,E3506-B,ONC-2020-046,GV009,20201113-16S
56,E3507-B,ONC-2020-046,GV009,20201113-16S
57,E3508-B,ONC-2020-046,GV009,20201113-16S
58,E3509-B,ONC-2020-046,GV009,20201113-16S
59,E3510-B,ONC-2020-046,GV009,20201113-16S
60,E3551-C,ONC-2020-046,GV009,20201113-16S
61,E3552-C,ONC-2020-046,GV009,20201113-16S
62,E3553-C,ONC-2020-046,GV009,20201113-16S
63,E3554-C,ONC-2020-046,GV009,20201113-16S
64,E3555-C,ONC-2020-046,GV009,20201113-16S
65,E3541-C,ONC-2020-046,GV009,20201113-16S
66,E3542-C,ONC-2020-046,GV009,20201113-16S
67,E3543-C,ONC-2020-046,GV009,20201113-16S
68,E3544-C,ONC-2020-046,GV009,20201113-16S
69,E3545-C,ONC-2020-046,GV009,20201113-16S
70,E3546-C,ONC-2020-046,GV009,20201113-16S
71,E3547-C,ONC-2020-046,GV009,20201113-16S
72,E3548-C,ONC-2020-046,GV009,20201113-16S
73,E3549-C,ONC-2020-046,GV009,20201113-16S
74,E3550-C,ONC-2020-046,GV009,20201113-16S
75,E3601-C,ONC-2020-046,GV009,20201113-16S
76,E3602-C,ONC-2020-046,GV009,20201113-16S
77,E3603-C,ONC-2020-046,GV009,20201113-16S
78,E3604-C,ONC-2020-046,GV009,20201113-16S
79,E3605-C,ONC-2020-046,GV009,20201113-16S
80,E3501-C,ONC-2020-046,GV009,20201113-16S
81,E3502-C,ONC-2020-046,GV009,20201113-16S
82,E3503-C,ONC-2020-046,GV009,20201113-16S
83,E3504-C,ONC-2020-046,GV009,20201113-16S
84,E3505-C,ONC-2020-046,GV009,20201113-16S
85,E3506-C,ONC-2020-046,GV009,20201113-16S
86,E3507-C,ONC-2020-046,GV009,20201113-16S
87,E3508-C,ONC-2020-046,GV009,20201113-16S
88,E3509-C,ONC-2020-046,GV009,20201113-16S
89,E3510-C,ONC-2020-046,GV009,20201113-16S
90,E3551-D,ONC-2020-046,GV009,20201113-16S
91,E3552-D,ONC-2020-046,GV009,20201113-16S
92,E3553-D,ONC-2020-046,GV009,20201113-16S
93,E3554-D,ONC-2020-046,GV009,20201113-16S
94,E3555-D,ONC-2020-046,GV009,20201113-16S
95,E3541-D,ONC-2020-046,GV009,20201113-16S
96,E3542-D,ONC-2020-046,GV009,20201113-16S
97,E3543-D,ONC-2020-046,GV009,20201113-16S
98,E3544-D,ONC-2020-046,GV009,20201113-16S
99,E3545-D,ONC-2020-046,GV009,20201113-16S
100,E3546-D,ONC-2020-046,GV009,20201113-16S
101,E3547-D,ONC-2020-046,GV009,20201113-16S
102,E3548-D,ONC-2020-046,GV009,20201113-16S
103,E3549-D,ONC-2020-046,GV009,20201113-16S
104,E3550-D,ONC-2020-046,GV009,20201113-16S
105,E3601-D,ONC-2020-046,GV009,20201113-16S
106,E3602-D,ONC-2020-046,GV009,20201113-16S
107,E3603-D,ONC-2020-046,GV009,20201113-16S
108,E3604-D,ONC-2020-046,GV009,20201113-16S
109,E3605-D,ONC-2020-046,GV009,20201113-16S
110,E3501-D,ONC-2020-046,GV009,20201113-16S
111,E3502-D,ONC-2020-046,GV009,20201113-16S
112,E3503-D,ONC-2020-046,GV009,20201113-16S
113,E3504-D,ONC-2020-046,GV009,20201113-16S
114,E3505-D,ONC-2020-046,GV009,20201113-16S
115,E3506-D,ONC-2020-046,GV009,20201113-16S
116,E3507-D,ONC-2020-046,GV009,20201113-16S
117,E3508-D,ONC-2020-046,GV009,20201113-16S
118,E3509-D,ONC-2020-046,GV009,20201113-16S
119,E3510-D,ONC-2020-046,GV009,20201113-16S
120,E3606-A,ONC-2020-045,GV009,20201113-16S
121,E3607-A,ONC-2020-045,GV009,20201113-16S
122,E3638-A,ONC-2020-045,GV009,20201113-16S
123,E3639-A,ONC-2020-045,GV009,20201113-16S
124,E3640-A,ONC-2020-045,GV009,20201113-16S
125,E3574-A,ONC-2020-045,GV009,20201113-16S
126,E3575-A,ONC-2020-045,GV009,20201113-16S
127,E3633-A,ONC-2020-045,GV009,20201113-16S
128,E3634-A,ONC-2020-045,GV009,20201113-16S
129,E3635-A,ONC-2020-045,GV009,20201113-16S
130,E3596-A,ONC-2020-045,GV009,20201113-16S
131,E3597-A,ONC-2020-045,GV009,20201113-16S
132,E3611-A,ONC-2020-045,GV009,20201113-16S
133,E3612-A,ONC-2020-045,GV009,20201113-16S
134,E3613-A,ONC-2020-045,GV009,20201113-16S
135,E3614-A,ONC-2020-045,GV009,20201113-16S
136,E3615-A,ONC-2020-045,GV009,20201113-16S
137,E3598-A,ONC-2020-045,GV009,20201113-16S
