#1,Sample ID,Project,Drug_project
1,18461_A,ONC-2020-042,GV009
2,18467_A,ONC-2020-042,GV009
3,18483_A,ONC-2020-042,GV009
4,18505_A,ONC-2020-042,GV009
5,18514_A,ONC-2020-042,GV009
6,18530_A,ONC-2020-042,GV009
7,18539_A,ONC-2020-042,GV009
8,18544_A,ONC-2020-042,GV009
9,18566_A,ONC-2020-042,GV009
10,18584_A,ONC-2020-042,GV009
11,18601_A,ONC-2020-042,GV009
12,18629_A,ONC-2020-042,GV009
13,18630_A,ONC-2020-042,GV009
14,18638_A,ONC-2020-042,GV009
15,18508_A,ONC-2020-042,GV009
16,18519_A,ONC-2020-042,GV009
17,18540_A,ONC-2020-042,GV009
18,18549_A,ONC-2020-042,GV009
19,18554_A,ONC-2020-042,GV009
20,18598_A,ONC-2020-042,GV009
21,18600_A,ONC-2020-042,GV009
22,18605_A,ONC-2020-042,GV009
23,18621_A,ONC-2020-042,GV009
24,18628_A,ONC-2020-042,GV009
25,18639_A,ONC-2020-042,GV009
26,18473_A,ONC-2020-042,GV009
27,18478_A,ONC-2020-042,GV009
28,18489_A,ONC-2020-042,GV009
29,18461_B,ONC-2020-042,GV009
30,18467_B,ONC-2020-042,GV009
31,18483_B,ONC-2020-042,GV009
32,18505_B,ONC-2020-042,GV009
33,18514_B,ONC-2020-042,GV009
34,18530_B,ONC-2020-042,GV009
35,18539_B,ONC-2020-042,GV009
36,18544_B,ONC-2020-042,GV009
37,18566_B,ONC-2020-042,GV009
38,18584_B,ONC-2020-042,GV009
39,18601_B,ONC-2020-042,GV009
40,18629_B,ONC-2020-042,GV009
41,18630_B,ONC-2020-042,GV009
42,18638_B,ONC-2020-042,GV009
43,18508_B,ONC-2020-042,GV009
44,18519_B,ONC-2020-042,GV009
45,18540_B,ONC-2020-042,GV009
46,18549_B,ONC-2020-042,GV009
47,18554_B,ONC-2020-042,GV009
48,18598_B,ONC-2020-042,GV009
49,18600_B,ONC-2020-042,GV009
50,18605_B,ONC-2020-042,GV009
51,18621_B,ONC-2020-042,GV009
52,18628_B,ONC-2020-042,GV009
53,18639_B,ONC-2020-042,GV009
54,18473_B,ONC-2020-042,GV009
55,18478_B,ONC-2020-042,GV009
56,18489_B,ONC-2020-042,GV009
57,E2991_A,ONC-2020-034,GV009
58,E3060_A,ONC-2020-034,GV009
59,E3013_A,ONC-2020-034,GV009
60,E3086_A,ONC-2020-034,GV009
61,E2905_A,ONC-2020-034,GV009
62,E3028_A,ONC-2020-034,GV009
63,E2915_A,ONC-2020-034,GV009
64,E2935_A,ONC-2020-034,GV009
65,E2897_A,ONC-2020-034,GV009
66,E2996_A,ONC-2020-034,GV009
67,E2909_A,ONC-2020-034,GV009
68,E3041_A,ONC-2020-034,GV009
69,E2984_A,ONC-2020-034,GV009
70,E2901_A,ONC-2020-034,GV009
71,E3087_A,ONC-2020-034,GV009
72,E3000_A,ONC-2020-034,GV009
73,E2954_A,ONC-2020-034,GV009
74,E2975_A,ONC-2020-034,GV009
75,E2907_A,ONC-2020-034,GV009
76,E2900_A,ONC-2020-034,GV009
77,E3058_A,ONC-2020-034,GV009
78,E3048_A,ONC-2020-034,GV009
79,E3027_A,ONC-2020-034,GV009
80,E3016_A,ONC-2020-034,GV009
81,E2986_A,ONC-2020-034,GV009
82,E3077_A,ONC-2020-034,GV009
83,E3076_A,ONC-2020-034,GV009
84,E2928_A,ONC-2020-034,GV009
85,E2924_A,ONC-2020-034,GV009
86,E3054_A,ONC-2020-034,GV009
87,E2990_A,ONC-2020-034,GV009
88,E2965_A,ONC-2020-034,GV009
89,E2921_A,ONC-2020-034,GV009
90,E2943_A,ONC-2020-034,GV009
91,E2998_A,ONC-2020-034,GV009
92,E2908_A,ONC-2020-034,GV009
93,E2983_A,ONC-2020-034,GV009
94,E2978_A,ONC-2020-034,GV009
95,E2906_A,ONC-2020-034,GV009
96,E3061_A,ONC-2020-034,GV009
97,E3074_A,ONC-2020-034,GV009
98,E2966_A,ONC-2020-034,GV009
99,E2936_A,ONC-2020-034,GV009
100,E3045_A,ONC-2020-034,GV009
101,E3072_A,ONC-2020-034,GV009
102,E2939_A,ONC-2020-034,GV009
103,E2977_A,ONC-2020-034,GV009
104,E3005_A,ONC-2020-034,GV009
105,E3071_A,ONC-2020-034,GV009
106,E2960_A,ONC-2020-034,GV009
107,E3003_A,ONC-2020-034,GV009
108,E2951_A,ONC-2020-034,GV009
109,E2959_A,ONC-2020-034,GV009
110,E2973_A,ONC-2020-034,GV009
111,E2995_A,ONC-2020-034,GV009
112,E3097_A,ONC-2020-034,GV009
113,E3035_A,ONC-2020-034,GV009
114,E3030_A,ONC-2020-034,GV009
115,E3083_A,ONC-2020-034,GV009
116,E3073_A,ONC-2020-034,GV009
117,E2991_B,ONC-2020-034,GV009
118,E3060_B,ONC-2020-034,GV009
119,E3013_B,ONC-2020-034,GV009
120,E3086_B,ONC-2020-034,GV009
121,E2905_B,ONC-2020-034,GV009
122,E3028_B,ONC-2020-034,GV009
123,E2915_B,ONC-2020-034,GV009
124,E2935_B,ONC-2020-034,GV009
125,E2897_B,ONC-2020-034,GV009
126,E2996_B,ONC-2020-034,GV009
127,E2909_B,ONC-2020-034,GV009
128,E3041_B,ONC-2020-034,GV009
129,E2984_B,ONC-2020-034,GV009
130,E2901_B,ONC-2020-034,GV009
131,E3087_B,ONC-2020-034,GV009
132,E3000_B,ONC-2020-034,GV009
133,E2954_B,ONC-2020-034,GV009
134,E2975_B,ONC-2020-034,GV009
135,E2907_B,ONC-2020-034,GV009
136,E2900_B,ONC-2020-034,GV009
137,E3058_B,ONC-2020-034,GV009
138,E3048_B,ONC-2020-034,GV009
139,E3027_B,ONC-2020-034,GV009
140,E3016_B,ONC-2020-034,GV009
141,E2986_B,ONC-2020-034,GV009
142,E3077_B,ONC-2020-034,GV009
143,E3076_B,ONC-2020-034,GV009
144,E2928_B,ONC-2020-034,GV009
145,E2924_B,ONC-2020-034,GV009
146,E3054_B,ONC-2020-034,GV009
147,E2990_B,ONC-2020-034,GV009
148,E2965_B,ONC-2020-034,GV009
149,E2921_B,ONC-2020-034,GV009
150,E2943_B,ONC-2020-034,GV009
151,E2998_B,ONC-2020-034,GV009
152,E2908_B,ONC-2020-034,GV009
153,E2983_B,ONC-2020-034,GV009
154,E2978_B,ONC-2020-034,GV009
155,E2906_B,ONC-2020-034,GV009
156,E3061_B,ONC-2020-034,GV009
157,E3074_B,ONC-2020-034,GV009
158,E2966_B,ONC-2020-034,GV009
159,E2936_B,ONC-2020-034,GV009
160,E3045_B,ONC-2020-034,GV009
161,E3072_B,ONC-2020-034,GV009
162,E2939_B,ONC-2020-034,GV009
163,E2977_B,ONC-2020-034,GV009
164,E3005_B,ONC-2020-034,GV009
165,E3071_B,ONC-2020-034,GV009
166,E2960_B,ONC-2020-034,GV009
167,E3003_B,ONC-2020-034,GV009
168,E2951_B,ONC-2020-034,GV009
169,E2959_B,ONC-2020-034,GV009
170,E2973_B,ONC-2020-034,GV009
171,E2995_B,ONC-2020-034,GV009
172,E3097_B,ONC-2020-034,GV009
173,E3035_B,ONC-2020-034,GV009
174,E3030_B,ONC-2020-034,GV009
175,E3083_B,ONC-2020-034,GV009
176,E3073_B,ONC-2020-034,GV009
177,E2991_C,ONC-2020-034,GV009
178,E3060_C,ONC-2020-034,GV009
179,E3013_C,ONC-2020-034,GV009
180,E3086_C,ONC-2020-034,GV009
181,E2905_C,ONC-2020-034,GV009
182,E3028_C,ONC-2020-034,GV009
183,E2915_C,ONC-2020-034,GV009
184,E2935_C,ONC-2020-034,GV009
185,E2897_C,ONC-2020-034,GV009
186,E2996_C,ONC-2020-034,GV009
187,E2909_C,ONC-2020-034,GV009
188,E3041_C,ONC-2020-034,GV009
189,E2984_C,ONC-2020-034,GV009
190,E2901_C,ONC-2020-034,GV009
191,E3087_C,ONC-2020-034,GV009
192,E3000_C,ONC-2020-034,GV009
193,E2954_C,ONC-2020-034,GV009
194,E2975_C,ONC-2020-034,GV009
195,E2907_C,ONC-2020-034,GV009
196,E2900_C,ONC-2020-034,GV009
197,E3058_C,ONC-2020-034,GV009
198,E3027_C,ONC-2020-034,GV009
199,E3016_C,ONC-2020-034,GV009
200,E2986_C,ONC-2020-034,GV009
201,E3077_C,ONC-2020-034,GV009
202,E3076_C,ONC-2020-034,GV009
203,E2928_C,ONC-2020-034,GV009
204,E2924_C,ONC-2020-034,GV009
205,E3054_C,ONC-2020-034,GV009
206,E2990_C,ONC-2020-034,GV009
207,E2965_C,ONC-2020-034,GV009
208,E2921_C,ONC-2020-034,GV009
209,E2943_C,ONC-2020-034,GV009
210,E2998_C,ONC-2020-034,GV009
211,E2908_C,ONC-2020-034,GV009
212,E2983_C,ONC-2020-034,GV009
213,E2906_C,ONC-2020-034,GV009
214,E3061_C,ONC-2020-034,GV009
215,E3074_C,ONC-2020-034,GV009
216,E2966_C,ONC-2020-034,GV009
217,E2936_C,ONC-2020-034,GV009
218,E3045_C,ONC-2020-034,GV009
219,E3072_C,ONC-2020-034,GV009
220,E2977_C,ONC-2020-034,GV009
221,E3005_C,ONC-2020-034,GV009
222,E2960_C,ONC-2020-034,GV009
223,E3003_C,ONC-2020-034,GV009
224,E2951_C,ONC-2020-034,GV009
225,E2959_C,ONC-2020-034,GV009
226,E2973_C,ONC-2020-034,GV009
227,E2995_C,ONC-2020-034,GV009
228,E3097_C,ONC-2020-034,GV009
229,E3035_C,ONC-2020-034,GV009
230,E3030_C,ONC-2020-034,GV009
231,E3083_C,ONC-2020-034,GV009
232,E3073_C,ONC-2020-034,GV009
233,A2425_B,AD-136,GV971
234,A2428_B,AD-136,GV971
235,A2429_B,AD-136,GV971
236,A2430_B,AD-136,GV971
237,A2432_B,AD-136,GV971
238,A2433_B,AD-136,GV971
239,A2434_B,AD-136,GV971
240,A2435_B,AD-136,GV971
241,A2437_B,AD-136,GV971
242,A2442_B,AD-136,GV971
243,A2444_B,AD-136,GV971
244,A2447_B,AD-136,GV971
245,A2451_B,AD-136,GV971
246,A2456_B,AD-136,GV971
247,A2459_B,AD-136,GV971
248,A2460_B,AD-136,GV971
249,A2462_B,AD-136,GV971
250,A2466_B,AD-136,GV971
251,A2474_B,AD-136,GV971
252,A2478_B,AD-136,GV971
253,A2653_B,AD-136,GV971
254,B8089_B,AD-136,GV971
255,B8159_B,AD-136,GV971
256,B8273_B,AD-136,GV971
