#1,SampleID,Project,Drug_project
1,A1539_C,AD-125,GV971
2,A1541_C,AD-125,GV971
3,A1542_C,AD-125,GV971
4,A1545_C,AD-125,GV971
5,A1661_C,AD-125,GV971
6,A1665_C,AD-125,GV971
7,A1666_C,AD-125,GV971
8,A1667_C,AD-125,GV971
9,A1668_C,AD-125,GV971
10,A1670_C,AD-125,GV971
11,A1672_C,AD-125,GV971
12,A1673_C,AD-125,GV971
13,A1675_C,AD-125,GV971
14,A1697_C,AD-125,GV971
15,A1702_C,AD-125,GV971
16,A1706_C,AD-125,GV971
17,A1708_C,AD-125,GV971
18,A1710_C,AD-125,GV971
19,A1712_C,AD-125,GV971
20,A1714_C,AD-125,GV971
21,A1716_C,AD-125,GV971
22,A1724_C,AD-125,GV971
23,A1725_C,AD-125,GV971
24,A1727_C,AD-125,GV971
25,A1730_C,AD-125,GV971
26,A1731_C,AD-125,GV971
27,A1736_C,AD-125,GV971
28,A1737_C,AD-125,GV971
29,A1739_C,AD-125,GV971
30,A1740_C,AD-125,GV971
31,A1741_C,AD-125,GV971
32,A1747_C,AD-125,GV971
33,A1748_C,AD-125,GV971
34,A2623_C,AD-125,GV971
35,B4692_C,AD-125,GV971
36,B4862_C,AD-125,GV971
37,18762,ONC-2020-044,GV009
38,18768,ONC-2020-044,GV009
39,18799,ONC-2020-044,GV009
40,18809,ONC-2020-044,GV009
41,18813,ONC-2020-044,GV009
42,18815,ONC-2020-044,GV009
43,18760,ONC-2020-044,GV009
44,18797,ONC-2020-044,GV009
45,18808,ONC-2020-044,GV009
46,18811,ONC-2020-044,GV009
47,18816,ONC-2020-044,GV009
48,18817,ONC-2020-044,GV009
49,18838_A,ONC-2020-044,GV009
50,18849_A,ONC-2020-044,GV009
51,18860_A,ONC-2020-044,GV009
52,18879_A,ONC-2020-044,GV009
53,18882_A,ONC-2020-044,GV009
54,18884_A,ONC-2020-044,GV009
55,18892_A,ONC-2020-044,GV009
56,18893_A,ONC-2020-044,GV009
57,18821_A,ONC-2020-044,GV009
58,18828_A,ONC-2020-044,GV009
59,18837_A,ONC-2020-044,GV009
60,18852_A,ONC-2020-044,GV009
61,18872_A,ONC-2020-044,GV009
62,18874_A,ONC-2020-044,GV009
63,18886_A,ONC-2020-044,GV009
64,18895_A,ONC-2020-044,GV009
65,18826_A,ONC-2020-044,GV009
66,18829_A,ONC-2020-044,GV009
67,18833_A,ONC-2020-044,GV009
68,18854_A,ONC-2020-044,GV009
69,18873_A,ONC-2020-044,GV009
70,18900_A,ONC-2020-044,GV009
71,18901_A,ONC-2020-044,GV009
72,18902_A,ONC-2020-044,GV009
73,18846_A,ONC-2020-044,GV009
74,18847_A,ONC-2020-044,GV009
75,18855_A,ONC-2020-044,GV009
76,18856_A,ONC-2020-044,GV009
77,18861_A,ONC-2020-044,GV009
78,18862_A,ONC-2020-044,GV009
79,18888_A,ONC-2020-044,GV009
80,18889_A,ONC-2020-044,GV009
81,18823_A,ONC-2020-044,GV009
82,18839_A,ONC-2020-044,GV009
83,18840_A,ONC-2020-044,GV009
84,18845_A,ONC-2020-044,GV009
85,18848_A,ONC-2020-044,GV009
86,18850_A,ONC-2020-044,GV009
87,18870_A,ONC-2020-044,GV009
88,18883_A,ONC-2020-044,GV009
89,18825_A,ONC-2020-044,GV009
90,18827_A,ONC-2020-044,GV009
91,18835_A,ONC-2020-044,GV009
92,18841_A,ONC-2020-044,GV009
93,18877_A,ONC-2020-044,GV009
94,18878_A,ONC-2020-044,GV009
95,18880_A,ONC-2020-044,GV009
96,18885_A,ONC-2020-044,GV009
97,18830_A,ONC-2020-044,GV009
98,18831_A,ONC-2020-044,GV009
99,18842_A,ONC-2020-044,GV009
100,18844_A,ONC-2020-044,GV009
101,18851_A,ONC-2020-044,GV009
102,18867_A,ONC-2020-044,GV009
103,18891_A,ONC-2020-044,GV009
104,18896_A,ONC-2020-044,GV009
105,18838_B,ONC-2020-044,GV009
106,18849_B,ONC-2020-044,GV009
107,18860_B,ONC-2020-044,GV009
108,18879_B,ONC-2020-044,GV009
109,18882_B,ONC-2020-044,GV009
110,18884_B,ONC-2020-044,GV009
111,18892_B,ONC-2020-044,GV009
112,18893_B,ONC-2020-044,GV009
113,18821_B,ONC-2020-044,GV009
114,18828_B,ONC-2020-044,GV009
115,18837_B,ONC-2020-044,GV009
116,18852_B,ONC-2020-044,GV009
117,18872_B,ONC-2020-044,GV009
118,18874_B,ONC-2020-044,GV009
119,18886_B,ONC-2020-044,GV009
120,18895_B,ONC-2020-044,GV009
121,18826_B,ONC-2020-044,GV009
122,18829_B,ONC-2020-044,GV009
123,18833_B,ONC-2020-044,GV009
124,18854_B,ONC-2020-044,GV009
125,18873_B,ONC-2020-044,GV009
126,18900_B,ONC-2020-044,GV009
127,18901_B,ONC-2020-044,GV009
128,18902_B,ONC-2020-044,GV009
129,18846_B,ONC-2020-044,GV009
130,18847_B,ONC-2020-044,GV009
131,18855_B,ONC-2020-044,GV009
132,18856_B,ONC-2020-044,GV009
133,18861_B,ONC-2020-044,GV009
