#1,SampleID,Project,Drug_project
1,E3791_B,ONC-2020-053,GV009
2,E3792_B,ONC-2020-053,GV009
3,E3793_B,ONC-2020-053,GV009
4,E3794_B,ONC-2020-053,GV009
5,E3795_B,ONC-2020-053,GV009
6,E3789_B,ONC-2020-053,GV009
7,E3831_B,ONC-2020-053,GV009
8,E3832_B,ONC-2020-053,GV009
9,E3833_B,ONC-2020-053,GV009
10,E3834_B,ONC-2020-053,GV009
11,E3835_B,ONC-2020-053,GV009
12,E3836_B,ONC-2020-053,GV009
13,E3837_B,ONC-2020-053,GV009
14,E3838_B,ONC-2020-053,GV009
15,E3839_B,ONC-2020-053,GV009
16,E3840_B,ONC-2020-053,GV009
17,E3896_B,ONC-2020-053,GV009
18,E3897_B,ONC-2020-053,GV009
19,E3898_B,ONC-2020-053,GV009
20,E3899_B,ONC-2020-053,GV009
21,E3900_B,ONC-2020-053,GV009
22,E3796_B,ONC-2020-053,GV009
23,E3797_B,ONC-2020-053,GV009
24,E3798_B,ONC-2020-053,GV009
25,E3799_B,ONC-2020-053,GV009
26,E3800_B,ONC-2020-053,GV009
27,E3826_B,ONC-2020-053,GV009
28,E3827_B,ONC-2020-053,GV009
29,E3828_B,ONC-2020-053,GV009
30,E3829_B,ONC-2020-053,GV009
31,E3830_B,ONC-2020-053,GV009
32,E3871_B,ONC-2020-053,GV009
33,E3872_B,ONC-2020-053,GV009
34,E3873_B,ONC-2020-053,GV009
35,E3874_B,ONC-2020-053,GV009
36,E3875_B,ONC-2020-053,GV009
37,E3811_B,ONC-2020-053,GV009
38,E3812_B,ONC-2020-053,GV009
39,E3813_B,ONC-2020-053,GV009
40,E3814_B,ONC-2020-053,GV009
41,E3815_B,ONC-2020-053,GV009
42,E3851_B,ONC-2020-053,GV009
43,E3852_B,ONC-2020-053,GV009
44,E3853_B,ONC-2020-053,GV009
45,E3854_B,ONC-2020-053,GV009
46,E3855_B,ONC-2020-053,GV009
47,E3881_B,ONC-2020-053,GV009
48,E3882_B,ONC-2020-053,GV009
49,E3883_B,ONC-2020-053,GV009
50,E3884_B,ONC-2020-053,GV009
51,E3885_B,ONC-2020-053,GV009
52,E3861_B,ONC-2020-053,GV009
53,E3862_B,ONC-2020-053,GV009
54,E3863_B,ONC-2020-053,GV009
55,E3864_B,ONC-2020-053,GV009
56,E3865_B,ONC-2020-053,GV009
57,E3876_B,ONC-2020-053,GV009
58,E3877_B,ONC-2020-053,GV009
59,E3878_B,ONC-2020-053,GV009
60,E3879_B,ONC-2020-053,GV009
61,E3880_B,ONC-2020-053,GV009
62,E3886_B,ONC-2020-053,GV009
63,E3887_B,ONC-2020-053,GV009
64,E3888_B,ONC-2020-053,GV009
65,E3889_B,ONC-2020-053,GV009
66,E3890_B,ONC-2020-053,GV009
67,E3816_B,ONC-2020-053,GV009
68,E3817_B,ONC-2020-053,GV009
69,E3818_B,ONC-2020-053,GV009
70,E3819_B,ONC-2020-053,GV009
71,E3820_B,ONC-2020-053,GV009
72,E3841_B,ONC-2020-053,GV009
73,E3842_B,ONC-2020-053,GV009
74,E3843_B,ONC-2020-053,GV009
75,E3844_B,ONC-2020-053,GV009
76,E3845_B,ONC-2020-053,GV009
77,E3891_B,ONC-2020-053,GV009
78,E3892_B,ONC-2020-053,GV009
79,E3893_B,ONC-2020-053,GV009
80,E3894_B,ONC-2020-053,GV009
81,E3895_B,ONC-2020-053,GV009
82,E3790_B,ONC-2020-053,GV009
83,E3806_B,ONC-2020-053,GV009
84,E3807_B,ONC-2020-053,GV009
85,E3808_B,ONC-2020-053,GV009
86,E3809_B,ONC-2020-053,GV009
87,E3810_B,ONC-2020-053,GV009
88,E3787_B,ONC-2020-053,GV009
89,E3821_B,ONC-2020-053,GV009
90,E3822_B,ONC-2020-053,GV009
91,E3823_B,ONC-2020-053,GV009
92,E3824_B,ONC-2020-053,GV009
93,E3825_B,ONC-2020-053,GV009
94,E3866_B,ONC-2020-053,GV009
95,E3867_B,ONC-2020-053,GV009
96,E3868_B,ONC-2020-053,GV009
97,E3869_B,ONC-2020-053,GV009
98,E3870_B,ONC-2020-053,GV009
99,E3801_B,ONC-2020-053,GV009
100,E3802_B,ONC-2020-053,GV009
101,E3803_B,ONC-2020-053,GV009
102,E3804_B,ONC-2020-053,GV009
103,E3805_B,ONC-2020-053,GV009
104,E3788_B,ONC-2020-053,GV009
105,E3846_B,ONC-2020-053,GV009
106,E3847_B,ONC-2020-053,GV009
107,E3848_B,ONC-2020-053,GV009
108,E3849_B,ONC-2020-053,GV009
109,E3850_B,ONC-2020-053,GV009
110,E3856_B,ONC-2020-053,GV009
111,E3857_B,ONC-2020-053,GV009
112,E3858_B,ONC-2020-053,GV009
113,E3859_B,ONC-2020-053,GV009
114,E3860_B,ONC-2020-053,GV009
115,E3791_C,ONC-2020-053,GV009
116,E3792_C,ONC-2020-053,GV009
117,E3793_C,ONC-2020-053,GV009
118,E3794_C,ONC-2020-053,GV009
119,E3795_C,ONC-2020-053,GV009
120,E3789_C,ONC-2020-053,GV009
121,E3831_C,ONC-2020-053,GV009
122,E3832_C,ONC-2020-053,GV009
123,E3833_C,ONC-2020-053,GV009
124,E3834_C,ONC-2020-053,GV009
125,E3835_C,ONC-2020-053,GV009
126,E3836_C,ONC-2020-053,GV009
127,E3837_C,ONC-2020-053,GV009
128,E3838_C,ONC-2020-053,GV009
