#1,SampleID,Project,Drug_project
1,19976_A,ONC-2021-001,GV009
2,19977_A,ONC-2021-001,GV009
3,19978_A,ONC-2021-001,GV009
4,19979_A,ONC-2021-001,GV009
5,19980_A,ONC-2021-001,GV009
6,19981_A,ONC-2021-001,GV009
7,19982_A,ONC-2021-001,GV009
8,19983_A,ONC-2021-001,GV009
9,19984_A,ONC-2021-001,GV009
10,19985_A,ONC-2021-001,GV009
11,19986_A,ONC-2021-001,GV009
12,19987_A,ONC-2021-001,GV009
13,19988_A,ONC-2021-001,GV009
14,19989_A,ONC-2021-001,GV009
15,19990_A,ONC-2021-001,GV009
16,19991_A,ONC-2021-001,GV009
17,19992_A,ONC-2021-001,GV009
18,19993_A,ONC-2021-001,GV009
19,19994_A,ONC-2021-001,GV009
20,19995_A,ONC-2021-001,GV009
21,19996_A,ONC-2021-001,GV009
22,19997_A,ONC-2021-001,GV009
23,19998_A,ONC-2021-001,GV009
24,19999_A,ONC-2021-001,GV009
25,20000_A,ONC-2021-001,GV009
26,20001_A,ONC-2021-001,GV009
27,20002_A,ONC-2021-001,GV009
28,20003_A,ONC-2021-001,GV009
29,20004_A,ONC-2021-001,GV009
30,20005_A,ONC-2021-001,GV009
31,20006_A,ONC-2021-001,GV009
32,20007_A,ONC-2021-001,GV009
33,20008_A,ONC-2021-001,GV009
34,20009_A,ONC-2021-001,GV009
35,20010_A,ONC-2021-001,GV009
36,20011_A,ONC-2021-001,GV009
37,20012_A,ONC-2021-001,GV009
38,20013_A,ONC-2021-001,GV009
39,20014_A,ONC-2021-001,GV009
40,20015_A,ONC-2021-001,GV009
41,19976_B,ONC-2021-001,GV009
42,19977_B,ONC-2021-001,GV009
43,19978_B,ONC-2021-001,GV009
44,19979_B,ONC-2021-001,GV009
45,19980_B,ONC-2021-001,GV009
46,19981_B,ONC-2021-001,GV009
47,19982_B,ONC-2021-001,GV009
48,19983_B,ONC-2021-001,GV009
49,19984_B,ONC-2021-001,GV009
50,19985_B,ONC-2021-001,GV009
51,19987_B,ONC-2021-001,GV009
52,19989_B,ONC-2021-001,GV009
