#1,SampleID,Project,Drug_project
1,20271_A,ONC-2021-008,GV009
2,20298_A,ONC-2021-008,GV009
3,20305_A,ONC-2021-008,GV009
4,20306_A,ONC-2021-008,GV009
5,20318_A,ONC-2021-008,GV009
6,20323_A,ONC-2021-008,GV009
7,20327_A,ONC-2021-008,GV009
8,20332_A,ONC-2021-008,GV009
9,20335_A,ONC-2021-008,GV009
10,20347_A,ONC-2021-008,GV009
11,20270_A,ONC-2021-008,GV009
12,20276_A,ONC-2021-008,GV009
13,20293_A,ONC-2021-008,GV009
14,20294_A,ONC-2021-008,GV009
15,20299_A,ONC-2021-008,GV009
16,20310_A,ONC-2021-008,GV009
17,20324_A,ONC-2021-008,GV009
18,20333_A,ONC-2021-008,GV009
19,20336_A,ONC-2021-008,GV009
20,20341_A,ONC-2021-008,GV009
21,20277_A,ONC-2021-008,GV009
22,20282_A,ONC-2021-008,GV009
23,20284_A,ONC-2021-008,GV009
24,20296_A,ONC-2021-008,GV009
25,20300_A,ONC-2021-008,GV009
26,20314_A,ONC-2021-008,GV009
27,20316_A,ONC-2021-008,GV009
28,20322_A,ONC-2021-008,GV009
29,20326_A,ONC-2021-008,GV009
30,20342_A,ONC-2021-008,GV009
31,20273_A,ONC-2021-008,GV009
32,20278_A,ONC-2021-008,GV009
33,20289_A,ONC-2021-008,GV009
34,20295_A,ONC-2021-008,GV009
35,20303_A,ONC-2021-008,GV009
36,20317_A,ONC-2021-008,GV009
37,20319_A,ONC-2021-008,GV009
38,20338_A,ONC-2021-008,GV009
39,20340_A,ONC-2021-008,GV009
40,20349_A,ONC-2021-008,GV009
41,20271_B,ONC-2021-008,GV009
42,20298_B,ONC-2021-008,GV009
43,20305_B,ONC-2021-008,GV009
44,20306_B,ONC-2021-008,GV009
45,20318_B,ONC-2021-008,GV009
46,20323_B,ONC-2021-008,GV009
47,20327_B,ONC-2021-008,GV009
48,20332_B,ONC-2021-008,GV009
49,20335_B,ONC-2021-008,GV009
50,20347_B,ONC-2021-008,GV009
51,20270_B,ONC-2021-008,GV009
52,20276_B,ONC-2021-008,GV009
53,20293_B,ONC-2021-008,GV009
54,20294_B,ONC-2021-008,GV009
55,20299_B,ONC-2021-008,GV009
56,20310_B,ONC-2021-008,GV009
57,20324_B,ONC-2021-008,GV009
58,20333_B,ONC-2021-008,GV009
59,20336_B,ONC-2021-008,GV009
60,20341_B,ONC-2021-008,GV009
61,20277_B,ONC-2021-008,GV009
62,20282_B,ONC-2021-008,GV009
63,20284_B,ONC-2021-008,GV009
64,20296_B,ONC-2021-008,GV009
65,20300_B,ONC-2021-008,GV009
66,20314_B,ONC-2021-008,GV009
67,20316_B,ONC-2021-008,GV009
68,20322_B,ONC-2021-008,GV009
69,20326_B,ONC-2021-008,GV009
70,20342_B,ONC-2021-008,GV009
71,20273_B,ONC-2021-008,GV009
72,20278_B,ONC-2021-008,GV009
73,20289_B,ONC-2021-008,GV009
74,20295_B,ONC-2021-008,GV009
75,20303_B,ONC-2021-008,GV009
76,20317_B,ONC-2021-008,GV009
77,20319_B,ONC-2021-008,GV009
78,20338_B,ONC-2021-008,GV009
79,20340_B,ONC-2021-008,GV009
80,20349_B,ONC-2021-008,GV009
81,E4939_A,ONC-2021-010,GV009
