#1,SampleID,Project,Drug_project,Species
1,21021_A,ONC-2021-017,GV009,mice
2,21022_A,ONC-2021-017,GV009,mice
3,21023_A,ONC-2021-017,GV009,mice
4,21024_A,ONC-2021-017,GV009,mice
5,21026_A,ONC-2021-017,GV009,mice
6,21027_A,ONC-2021-017,GV009,mice
7,21028_A,ONC-2021-017,GV009,mice
8,21029_A,ONC-2021-017,GV009,mice
9,21031_A,ONC-2021-017,GV009,mice
10,21032_A,ONC-2021-017,GV009,mice
11,21033_A,ONC-2021-017,GV009,mice
12,21034_A,ONC-2021-017,GV009,mice
13,21036_A,ONC-2021-017,GV009,mice
14,21037_A,ONC-2021-017,GV009,mice
15,21038_A,ONC-2021-017,GV009,mice
16,21039_A,ONC-2021-017,GV009,mice
17,21041_A,ONC-2021-017,GV009,mice
18,21042_A,ONC-2021-017,GV009,mice
19,21043_A,ONC-2021-017,GV009,mice
20,21044_A,ONC-2021-017,GV009,mice
21,21045_A,ONC-2021-017,GV009,mice
22,21046_A,ONC-2021-017,GV009,mice
23,21047_A,ONC-2021-017,GV009,mice
24,21048_A,ONC-2021-017,GV009,mice
25,21049_A,ONC-2021-017,GV009,mice
26,21050_A,ONC-2021-017,GV009,mice
27,21051_A,ONC-2021-017,GV009,mice
28,21052_A,ONC-2021-017,GV009,mice
29,21053_A,ONC-2021-017,GV009,mice
30,21054_A,ONC-2021-017,GV009,mice
31,21055_A,ONC-2021-017,GV009,mice
32,21056_A,ONC-2021-017,GV009,mice
33,21057_A,ONC-2021-017,GV009,mice
34,21058_A,ONC-2021-017,GV009,mice
35,21059_A,ONC-2021-017,GV009,mice
36,21060_A,ONC-2021-017,GV009,mice
37,21021_B,ONC-2021-017,GV009,mice
38,21022_B,ONC-2021-017,GV009,mice
39,21023_B,ONC-2021-017,GV009,mice
40,21024_B,ONC-2021-017,GV009,mice
41,21026_B,ONC-2021-017,GV009,mice
42,21027_B,ONC-2021-017,GV009,mice
43,21028_B,ONC-2021-017,GV009,mice
44,21029_B,ONC-2021-017,GV009,mice
45,21031_B,ONC-2021-017,GV009,mice
46,21032_B,ONC-2021-017,GV009,mice
47,21033_B,ONC-2021-017,GV009,mice
48,21034_B,ONC-2021-017,GV009,mice
49,21036_B,ONC-2021-017,GV009,mice
50,21037_B,ONC-2021-017,GV009,mice
51,21038_B,ONC-2021-017,GV009,mice
52,21039_B,ONC-2021-017,GV009,mice
53,21041_B,ONC-2021-017,GV009,mice
54,21042_B,ONC-2021-017,GV009,mice
55,21043_B,ONC-2021-017,GV009,mice
56,21044_B,ONC-2021-017,GV009,mice
57,21045_B,ONC-2021-017,GV009,mice
58,21046_B,ONC-2021-017,GV009,mice
59,21047_B,ONC-2021-017,GV009,mice
60,21048_B,ONC-2021-017,GV009,mice
61,21049_B,ONC-2021-017,GV009,mice
62,21050_B,ONC-2021-017,GV009,mice
63,21051_B,ONC-2021-017,GV009,mice
64,21052_B,ONC-2021-017,GV009,mice
65,21053_B,ONC-2021-017,GV009,mice
66,21054_B,ONC-2021-017,GV009,mice
67,21055_B,ONC-2021-017,GV009,mice
68,21056_B,ONC-2021-017,GV009,mice
69,21057_B,ONC-2021-017,GV009,mice
70,21058_B,ONC-2021-017,GV009,mice
71,21059_B,ONC-2021-017,GV009,mice
72,21060_B,ONC-2021-017,GV009,mice
73,21021_C,ONC-2021-017,GV009,mice
74,21023_C,ONC-2021-017,GV009,mice
75,21024_C,ONC-2021-017,GV009,mice
76,21026_C,ONC-2021-017,GV009,mice
77,21027_C,ONC-2021-017,GV009,mice
78,21028_C,ONC-2021-017,GV009,mice
79,21029_C,ONC-2021-017,GV009,mice
80,21031_C,ONC-2021-017,GV009,mice
81,21032_C,ONC-2021-017,GV009,mice
82,21033_C,ONC-2021-017,GV009,mice
83,21034_C,ONC-2021-017,GV009,mice
84,21036_C,ONC-2021-017,GV009,mice
85,21037_C,ONC-2021-017,GV009,mice
86,21038_C,ONC-2021-017,GV009,mice
87,21039_C,ONC-2021-017,GV009,mice
