Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
,mice,D062712,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062712,y,Fengyuan,,,,,,
,mice,D062713,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062713,y,Fengyuan,,,,,,
,mice,D062714,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062714,y,Fengyuan,,,,,,
,mice,D062716,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062716,y,Fengyuan,,,,,,
,mice,D062717,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062717,y,Fengyuan,,,,,,
,mice,D062718,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062718,y,Fengyuan,,,,,,
,mice,D062719,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062719,y,Fengyuan,,,,,,
,mice,D062720,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062720,y,Fengyuan,,,,,,
,mice,D062721,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062721,y,Fengyuan,,,,,,
,mice,D062722,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062722,y,Fengyuan,,,,,,
,mice,D062723,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062723,y,Fengyuan,,,,,,
,mice,D062732,SZ-NLL-2020-002,,US_D0,LIPUS,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062732,y,Fengyuan,,,,,,
