Project_category,Species,SampleID,Other_ID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
,mice,05877-1,05877_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05877_1,y,Fengyuan,,,,,,
,mice,05879-1,05879_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05879_1,y,Fengyuan,,,,,,
,mice,05881-1,05881_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05881_1,y,Fengyuan,,,,,,
,mice,05885-1,05885_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05885_1,y,Fengyuan,,,,,,
,mice,05887-1,05887_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05887_1,y,Fengyuan,,,,,,
,mice,05889-1,05889_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05889_1,y,Fengyuan,,,,,,
,mice,05891-1,05891_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05891_1,y,Fengyuan,,,,,,
,mice,05893-1,05893_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,68,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05893_1,y,Fengyuan,,,,,,
,mice,05895-1,05895_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,68,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05895_1,y,Fengyuan,,,,,,
,mice,05095-1,05095_1,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,68,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05095_1,y,Fengyuan,,,,,,
,mice,05878-1,05878_1,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,实验为物理刺激，无剂量差别，本组为处理前基线样本,time1,X05878_1,y,Fengyuan,,,,,,
