"Project_category","Species","SampleID","sampleID","Other_ID","Project","Model","Groups","Drug","Drug_batch","Dosage","Dosage_unit","Gender","Birth_date","Arrival_date","Arrival_age_week","Collection_date","Age_week","Strain","Cage_num","Source","Feed_site","Batch1","Comment","Time_Point","Bacteria_16s","X16s_lab","Metagenome","Metagenome_lab","Metabolism","Metabolism_lab","Immunity","Path"
"GV009","mice","E391","E391","E391","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E392","E392","E392","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E393","E393","E393","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E394","E394","E394","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E395","E395","E395","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E396","E396","E396","ONC-2019-GL-008","SP20","","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E397","E397","E397","ONC-2019-GL-008","SP20","","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E398","E398","E398","ONC-2019-GL-008","SP20","","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E399","E399","E399","ONC-2019-GL-008","SP20","","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E400","E400","E400","ONC-2019-GL-008","SP20","","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E461","E461","E461","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E462","E462","E462","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E463","E463","E463","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E464","E464","E464","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E465","E465","E465","ONC-2019-GL-008","SP20","","GV009",NA,"250","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E466","E466","E466","ONC-2019-GL-008","SP20","","GV009",NA,"62.5","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E467","E467","E467","ONC-2019-GL-008","SP20","","GV009",NA,"62.5","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E468","E468","E468","ONC-2019-GL-008","SP20","","GV009",NA,"62.5","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E469","E469","E469","ONC-2019-GL-008","SP20","","GV009",NA,"62.5","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E470","E470","E470","ONC-2019-GL-008","SP20","","GV009",NA,"62.5","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E476","E476","E476","ONC-2019-GL-008","SP20","","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E477","E477","E477","ONC-2019-GL-008","SP20","","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E478","E478","E478","ONC-2019-GL-008","SP20","","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E479","E479","E479","ONC-2019-GL-008","SP20","","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
"GV009","mice","E480","E480","E480","ONC-2019-GL-008","SP20","","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","",NA,"y","Meiji","","","","",NA,NA
