"Project_category","Species","SampleID","sampleID_origin","Other_ID","Project","Model","Groups","Category","Pre_or_Post","Time","Drug","Drug_batch","Dosage","Dosage_unit","Gender","Birth_date","Arrival_date","Arrival_age_week","Collection_date","Age_week","Strain","Cage_num","Source","Feed_site","Batch1","Comment","Bacteria_16s","X16s_lab","Metagenome","Metagenome_lab","Metabolism","Metabolism_lab","Immunity","Path"
"GV009","mouse","E391","E391","E391","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E392","E392","E392","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E393","E393","E393","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E394","E394","E394","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E395","E395","E395","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","10","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E396","E396","E396","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E397","E397","E397","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E398","E398","E398","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E399","E399","E399","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E400","E400","E400","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","8","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E461","E461","E461","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E462","E462","E462","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
