Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
tumor,mice,E391,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,10,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E391,y,Meiji,,,,,,
tumor,mice,E392,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,10,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E392,y,Meiji,,,,,,
tumor,mice,E393,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,10,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E393,y,Meiji,,,,,,
tumor,mice,E394,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,10,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E394,y,Meiji,,,,,,
tumor,mice,E395,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,10,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E395,y,Meiji,,,,,,
tumor,mice,E396,ONC-2019-GL-008,SP20,,GV009,,125,mpk,Female,,,5,2019/8/26,,BALB/c,8,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E396,y,Meiji,,,,,,
tumor,mice,E397,ONC-2019-GL-008,SP20,,GV009,,125,mpk,Female,,,5,2019/8/26,,BALB/c,8,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E397,y,Meiji,,,,,,
tumor,mice,E398,ONC-2019-GL-008,SP20,,GV009,,125,mpk,Female,,,5,2019/8/26,,BALB/c,8,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E398,y,Meiji,,,,,,
tumor,mice,E399,ONC-2019-GL-008,SP20,,GV009,,125,mpk,Female,,,5,2019/8/26,,BALB/c,8,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E399,y,Meiji,,,,,,
tumor,mice,E400,ONC-2019-GL-008,SP20,,GV009,,125,mpk,Female,,,5,2019/8/26,,BALB/c,8,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E400,y,Meiji,,,,,,
tumor,mice,E461,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,9,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E461,y,Meiji,,,,,,
tumor,mice,E462,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,9,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E462,y,Meiji,,,,,,
tumor,mice,E463,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,9,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E463,y,Meiji,,,,,,
tumor,mice,E464,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,9,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E464,y,Meiji,,,,,,
tumor,mice,E465,ONC-2019-GL-008,SP20,,GV009,,250,mpk,Female,,,5,2019/8/26,,BALB/c,9,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E465,y,Meiji,,,,,,
tumor,mice,E466,ONC-2019-GL-008,SP20,,GV009,,62.5,mpk,Female,,,5,2019/8/26,,BALB/c,5,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E466,y,Meiji,,,,,,
tumor,mice,E467,ONC-2019-GL-008,SP20,,GV009,,62.5,mpk,Female,,,5,2019/8/26,,BALB/c,5,Lingchang,Pengli,ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104,,,E467,y,Meiji,,,,,,
