Project_category,Species,SampleID,AnimalID,sampleID_origin,Other_ID,Project,Model,Groups,Category,Pre_or_Post,Time,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,RNAseq,RNAseq_lab,Immunity,Path
GV971,mouse,F2_106,F2_106,F2_106,F2_106,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/8/20,NA,NA,2018/1/9,20,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_107,F2_107,F2_107,F2_107,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/8/20,NA,NA,2018/1/9,20,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_108,F2_108,F2_108,F2_108,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/20,NA,NA,2018/1/9,20,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_109,F2_109,F2_109,F2_109,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/20,NA,NA,2018/1/9,20,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_11,F2_11,F2_11,F2_11,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2016/11/5,NA,NA,2018/1/9,61,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_110,F2_110,F2_110,F2_110,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/20,NA,NA,2018/1/9,20,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_111,F2_111,F2_111,F2_111,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/20,NA,NA,2018/1/9,20,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_112,F2_112,F2_112,F2_112,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/20,NA,NA,2018/1/9,20,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_113,F2_113,F2_113,F2_113,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/20,NA,NA,2018/1/9,20,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_115,F2_115,F2_115,F2_115,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/25,NA,NA,2018/1/9,20,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_122,F2_122,F2_122,F2_122,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/8/30,NA,NA,2018/1/9,19,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_123,F2_123,F2_123,F2_123,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/8/30,NA,NA,2018/1/9,19,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_124,F2_124,F2_124,F2_124,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/8/30,NA,NA,2018/1/9,19,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_125,F2_125,F2_125,F2_125,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/8/30,NA,NA,2018/1/9,19,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_13,F2_13,F2_13,F2_13,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2016/11/5,NA,NA,2018/1/9,61,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_14,F2_14,F2_14,F2_14,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2016/11/22,NA,NA,2018/1/9,59,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_143,F2_143,F2_143,F2_143,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/10/8,NA,NA,2018/1/9,13,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_144,F2_144,F2_144,F2_144,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/10/8,NA,NA,2018/1/9,13,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_146,F2_146,F2_146,F2_146,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/10/8,NA,NA,2018/1/9,13,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_147,F2_147,F2_147,F2_147,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/10/8,NA,NA,2018/1/9,13,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_148,F2_148,F2_148,F2_148,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/11/18,NA,NA,2018/1/9,7,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
